대분류,중분류,소분류,항목명 (name),단위 (unit),스텝 (step),포맷 (format),기본차트 (default_chart_type),라벨 (label_tag)
대학 자율 혁신지원,,,유지충원율,%,0.1,%.1f,line,대학
대학 자율 혁신지원,,,전임교원 확보율 ,%,0.1,%.1f,line,대학
지역전략산업 연계 특성화 ,G-10 지역전략산업 특성화 대학 육성,,지역 소재기업 취업률 실적,건,1,%d,bar,프로젝트
지역전략산업 연계 특성화 ,G-10 지역전략산업 특성화 대학 육성,,지역 주력산업분야 인력양성 실적 향상률 ,%,0.1,%.1f,line,프로젝트
지역전략산업 연계 특성화 ,G-10 지역전략산업 특성화 대학 육성,,현장형 수요 맞춤형 교육과정 참여실적,%,0.1,%.1f,line,프로젝트
지역전략산업 연계 특성화 ,G-10 지역전략산업 특성화 대학 육성,,지산학연 연구건수 및 연구비 규모(교수 1인당 연구건수),건,1,%d,bar,대학
지역전략산업 연계 특성화 ,G-10 지역전략산업 특성화 대학 육성,,지산학연 연구건수 및 연구비 규모(교수 1인당 연구비),천원,1000,%d,bar_line,대학
지역전략산업 연계 특성화 ,G-10 지역전략산업 특성화 대학 육성,,지산학연 연구 기술이전 실적(건당 수입료) ,천원,1000,%d,bar_line,대학
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",대학의 산학친화적 프로그램 운영,지역 소재기업 취업률 실적,건,1,%d,bar,프로젝트
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",대학의 산학친화적 프로그램 운영,현장형 수요 맞춤형 교육과정 참여실적,%,0.1,%.1f,line,프로젝트
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",대학의 산학친화적 프로그램 운영,지산학연 연구건수 및 연구비 규모(교수 1인당 연구건수),건,1,%d,bar,대학
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",대학의 산학친화적 프로그램 운영,지산학연 연구건수 및 연구비 규모(교수 1인당 연구비),천원,1000,%d,bar_line,대학
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",대학의 산학친화적 프로그램 운영,지산학연 연구 기술이전 실적(건당 수입료) ,천원,1000,%d,bar_line,대학
